nominal;data;curs;cdx
100;01/01/2016;60,5806;Японская иена
100;12/01/2016;64,5812;Японская иена
100;13/01/2016;65,1950;Японская иена
100;14/01/2016;64,6294;Японская иена
100;15/01/2016;64,9353;Японская иена
100;16/01/2016;65,1035;Японская иена
100;19/01/2016;66,9827;Японская иена
100;20/01/2016;66,5504;Японская иена
100;21/01/2016;68,3862;Японская иена
100;22/01/2016;71,3937;Японская иена
100;23/01/2016;68,2201;Японская иена
100;26/01/2016;65,7370;Японская иена
100;27/01/2016;69,4466;Японская иена
100;28/01/2016;66,8191;Японская иена
100;29/01/2016;65,0994;Японская иена
100;30/01/2016;62,2236;Японская иена
100;02/02/2016;62,9990;Японская иена
100;03/02/2016;64,5869;Японская иена
100;04/02/2016;66,0880;Японская иена
100;05/02/2016;64,9349;Японская иена
100;06/02/2016;66,1854;Японская иена
100;09/02/2016;65,6122;Японская иена
100;10/02/2016;68,3287;Японская иена
100;11/02/2016;68,9805;Японская иена
100;12/02/2016;70,6789;Японская иена
100;13/02/2016;70,7063;Японская иена
100;16/02/2016;68,3503;Японская иена
100;17/02/2016;66,6623;Японская иена
100;18/02/2016;68,4729;Японская иена
100;19/02/2016;66,3304;Японская иена
100;20/02/2016;67,6251;Японская иена
100;21/02/2016;68,5197;Японская иена
100;25/02/2016;68,1805;Японская иена
100;26/02/2016;68,1501;Японская иена
100;27/02/2016;66,5222;Японская иена
100;01/03/2016;67,1706;Японская иена
100;02/03/2016;65,4733;Японская иена
100;03/03/2016;64,4031;Японская иена
100;04/03/2016;64,8007;Японская иена
100;05/03/2016;64,3021;Японская иена
100;10/03/2016;64,3155;Японская иена
100;11/03/2016;62,6065;Японская иена
100;12/03/2016;61,7891;Японская иена
100;15/03/2016;61,6767;Японская иена
100;16/03/2016;62,4338;Японская иена
100;17/03/2016;62,4923;Японская иена
100;18/03/2016;61,4143;Японская иена
100;19/03/2016;61,4634;Японская иена
100;22/03/2016;61,7699;Японская иена
100;23/03/2016;60,8078;Японская иена
100;24/03/2016;60,1146;Японская иена
100;25/03/2016;61,0754;Японская иена
100;26/03/2016;60,5696;Японская иена
100;29/03/2016;59,7397;Японская иена
100;30/03/2016;60,4944;Японская иена
100;31/03/2016;60,3074;Японская иена
100;01/04/2016;60,3345;Японская иена
100;02/04/2016;59,7792;Японская иена
100;05/04/2016;61,5122;Японская иена
100;06/04/2016;62,3722;Японская иена
100;07/04/2016;62,0806;Японская иена
100;08/04/2016;62,4100;Японская иена
100;09/04/2016;61,9183;Японская иена
100;12/04/2016;62,0752;Японская иена
100;13/04/2016;61,3374;Японская иена
100;14/04/2016;60,2945;Японская иена
100;15/04/2016;60,8904;Японская иена
